会場,開催日,箱番号,番号,レーン名,品名,ブランド名,枠,脇石,重量,品番,,ランク,スタート価格,予想時刻,オークション結果,落札価格
JBA金沢,2024/05/08,201,4,---,時計,ROLEX,SS,AT,,16610, A番 保,,0,,落札,1060000
JBA金沢,2024/05/08,201,5,---,時計,ROLEX,SS,AT,,16610, F番,,0,,落札,980000
JBA金沢,2024/05/08,201,6,---,時計,ROLEX,WG/SS,AT,,326934, ﾗﾝﾀﾞﾑ番 白 保(2018.7),,0,,落札,2280000
JBA金沢,2024/05/08,201,7,---,時計,ROLEX,YG/SS,AT,,16233, T番 ｺﾝﾋﾟｭｰﾀ ｼｬﾝﾊﾟﾝ,,0,,落札,733000
JBA金沢,2024/05/08,201,8,---,時計,ROLEX,YG/SS,AT,,16233, X番 ｼｬﾝﾊﾟﾝ 保,,0,,落札,660000
JBA金沢,2024/05/08,201,9,---,時計,ROLEX,WG/SS,AT,,16234, L番 ｼﾙﾊﾞｰ 日ﾛﾚ,,0,,落札,720000
JBA金沢,2024/05/08,201,10,---,時計,ROLEX,WG/SS,AT,,16234, T番 ﾋﾟﾝｸ ﾛｰﾏ,,0,,落札,660000
JBA金沢,2024/05/08,202,1,---,時計,ROLEX,YG/SS,AT,,69173G, T番 ﾌﾞﾙｸﾞﾗ 保,,0,,落札,640000
JBA金沢,2024/05/08,202,2,---,時計,ROLEX,YG,AT,,69178G, R番 ﾚｯﾄﾞｸﾞﾗﾃﾞ 保,,0,,落札,1400000
JBA金沢,2024/05/08,202,3,---,時計,ROLEX,YG,AT,,69158G, W番 ｼｬﾝﾊﾟﾝ 保,,0,,落札,1800000
JBA金沢,2024/05/08,202,5,---,時計,ROLEX,SS,AT,,116520, ﾗﾝﾀﾞﾑ番 黒 箱 保(2015.4) 別展 取扱注意 ｸﾛﾏﾗｲﾄ鏡面,,0,,落札,3050000
JBA金沢,2024/05/08,202,6,---,時計,ROLEX,SS,AT,,124270, ﾗﾝﾀﾞﾑ番 黒 保(2023.12),,0,,落札,1030000
JBA金沢,2024/05/08,202,7,---,時計,ROLEX,YG/SS,AT,,124273, ﾗﾝﾀﾞﾑ番 黒 保(2022.10),,0,,落札,1320000
JBA金沢,2024/05/08,202,8,---,時計,ROLEX,SS,AT,,126610LV, ﾗﾝﾀﾞﾑ番 保(2020.1),,0,,落札,2030000
JBA金沢,2024/05/08,202,9,---,時計,ROLEX,PG/革,AT,,50505, ﾗﾝﾀﾞﾑ番 黒 日ﾛﾚ(2015.5),,0,,落札,1600000
JBA金沢,2024/05/08,202,10,---,時計,ROLEX,PG/革,AT,,118135, ﾗﾝﾀﾞﾑ番 ﾁｮｺ 日ﾛﾚ(2019.2) 別展,,0,,落札,2700000
JBA金沢,2024/05/08,203,7,---,時計,ROLEX,WG/SS,AT,,179174G, ﾗﾝﾀﾞﾑ番 ﾎﾘｺﾝ 10P 黒 保,,0,,落札,860000
JBA金沢,2024/05/08,203,8,---,時計,ROLEX,WG/SS,AT,,179174G, V番 ﾎﾘｺﾝ 10P ｼﾙﾊﾞｰ 保,,0,,落札,830000
JBA金沢,2024/05/08,203,9,---,時計,ROLEX,YG/SS,AT,,179173NG, F番 黒ｼｪﾙ 10P 黒 箱 日ﾛﾚ,,0,,落札,1280000
JBA金沢,2024/05/08,203,10,---,時計,ROLEX,YG/革,AT,,116518NR, P番 黒ｼｪﾙ ﾛｰﾏﾝ 黒 箱 保 別展,,0,,落札,3600000
JBA金沢,2024/05/08,204,1,---,時計,ROLEX,SS,AT,,67180, S番 白 ﾛｰﾏ,,0,,落札,290000
JBA金沢,2024/05/08,204,2,---,時計,ROLEX,WG/革,手巻,,5441/9 D番 ｼﾙﾊﾞｰ ｳﾗｽｹ,,0,,落札,1040000
JBA金沢,2024/05/08,204,3,---,時計,ROLEX,SS,AT,136.4g,126300, ﾗﾝﾀﾞﾑ番 白 ﾛｰﾏ 保(2020.6) 別展,,0,,落札,1200000
JBA金沢,2024/05/08,204,4,---,時計,ROLEX,YG,AT,,69178G, W番 ｼｬﾝﾊﾟﾝ,,0,,落札,930000
JBA金沢,2024/05/08,204,5,---,時計,ROLEX,YG,AT,,169628, P番 ｸﾞﾚｰ,,0,,落札,1300000
JBA金沢,2024/05/08,204,6,---,時計,ROLEX,SS,AT,,114270, K番  保(日付無),,0,,落札,672000
JBA金沢,2024/05/08,205,1,---,時計,ROLEX,YG/SS,AT,,79173, K番 ｼｬﾝﾊﾟﾝ 保,,0,,落札,550000
JBA金沢,2024/05/08,205,2,---,時計,ROLEX,YG/SS,AT,,69173G, L番 ｼｬﾝﾊﾟﾝ,,0,,落札,440000
JBA金沢,2024/05/08,205,3,---,時計,ROLEX,YG/SS,AT,,69173G, T番 ｼｬﾝﾊﾟﾝ,,0,,落札,480000
JBA金沢,2024/05/08,205,4,---,時計,ROLEX,WG/SS,AT,,179174, Z番 ﾋﾟﾝｸ ﾛｰﾏ 日ﾛﾚ(2009.11),,0,,落札,680000
JBA金沢,2024/05/08,205,5,---,時計,ROLEX,YG/SS,AT,,68273G, 98番 ｼｬﾝﾊﾟﾝ,,0,,落札,760000
JBA金沢,2024/05/08,205,6,---,時計,ROLEX,SS,AT,,16220, U番 青 ﾛｰﾏ,,0,,落札,650000
JBA金沢,2024/05/08,205,7,---,時計,ROLEX,SS,AT,,114270, F番 保,,0,,落札,680000
JBA金沢,2024/05/08,205,10,---,時計,ROLEX,SS,AT,,16750, R番 青/赤 ｻｰﾋﾞｽ保,,0,,落札,1240000
JBA金沢,2024/05/08,206,1,---,時計,ROLEX,YG,AT,134.4g,18238A, R番 10PD ｼｬﾝﾊﾟﾝ 現状 ｶﾚ切替遅,,0,,落札,1750000
JBA金沢,2024/05/08,206,2,---,時計,ROLEX,YG,AT,100.2g,68278G, 87番 10PD ｼｬﾝﾊﾟﾝ,,0,,落札,1580000
JBA金沢,2024/05/08,206,3,---,時計,ROLEX,SS,AT,,79160, P番 ﾛｰﾏ 白 保,,0,,落札,380000
JBA金沢,2024/05/08,206,4,---,時計,ROLEX,YG/SS,AT,,69173, T番 ｸﾞﾚｰ ﾛｰﾏ,,0,,落札,410000
JBA金沢,2024/05/08,206,5,---,時計,ROLEX,YG/SS,AT,,69173, L番 ｼｬﾝﾊﾟﾝ 保 ｻｰﾋﾞｽ保,,0,,落札,420000
JBA金沢,2024/05/08,206,6,---,時計,ROLEX,YG/SS,AT,,68273, S番 ｼｬﾝﾊﾟﾝ 文字盤変色,,0,,落札,720000
JBA金沢,2024/05/08,206,7,---,時計,ROLEX,YG/SS,AT,,16233, R番 ｼｬﾝﾊﾟﾝ ﾘｭｰｽﾞ 現状,,0,,落札,550000
JBA金沢,2024/05/08,206,8,---,時計,ROLEX,SS,AT,,5513, 27番 黒 現状 不動,,0,,落札,1320000
JBA金沢,2024/05/08,206,9,---,時計,ROLEX,SS,AT,,1002, 18番 ｼﾙﾊﾞｰ 現状 不動,,0,,落札,200000
JBA金沢,2024/05/08,207,1,---,時計,ROLEX,SS,AT,,124270, ﾗﾝﾀﾞﾑ番 黒 保(2023.8),,0,,落札,1030000
JBA金沢,2024/05/08,207,2,---,時計,ROLEX,YG/SS,AT,,124273, ﾗﾝﾀﾞﾑ番 黒 保(2023.12) 別展 未使用,,0,,落札,1370000
JBA金沢,2024/05/08,207,3,---,時計,ROLEX,PG,AT,,179175G, Y番 ﾒﾃｵﾗｲﾄ,,0,,落札,2180000
JBA金沢,2024/05/08,207,5,---,時計,ROLEX,PG,AT,,118205FA, ﾗﾝﾀﾞﾑ番 ﾌｪﾗｲﾄ 日ﾛﾚ(2017.11) 別展,,0,,落札,4400000
JBA金沢,2024/05/08,207,6,---,時計,ROLEX,YG,AT,,116718LN, Z番 保(2008.2) 別展,,0,,落札,5300000
JBA金沢,2024/05/08,207,7,---,時計,ROLEX,YG,AT,,128238A, ﾗﾝﾀﾞﾑ番 ｼｬﾝﾊﾟﾝ 保(2021.2) 別展,,0,,落札,4700000
JBA金沢,2024/05/08,207,8,---,時計,ROLEX,YG/革,AT,,116515LN, ﾗﾝﾀﾞﾑ番 ｻﾝﾀﾞｽﾄ/黒 保(2016.9) ｻｰﾋﾞｽ保 別展,,0,,落札,4100000
